Premise Name,Company Brand Name,Address,Halal Certification Expiry Date,Halal Certification Body
30 NASI AYAM,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC30, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2024-04-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
31 GERAI MINUMAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC31, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2024-04-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
32 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC32, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG,",2024-01-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
35 SATAY,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC35, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG, 93050, KUCHING, SARAWAK",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
39 AYAM PENYET,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC39, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
3A YONG TAU FOO & CHEONG FUN SDN BHD,3A YONG TAU FOO & CHEONG FUN SDN. BHD.,"12, JALAN 19/3,",2022-03-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
3OLDTOWN WHITE COFFEE - CHERAS MIDAH,KOPITIAM ASIA PACIFIC SDN BHD,"LOT 4523 (D) BATU 4 1/2, JALAN CHERAS",2021-05-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
4 CUPS CAFE,A&A FARHANI ENTERPRISE,"NO.1,KM 209 R&R AYER KEROH  ARAH SELATAN",2025-05-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
4 GERAI MINUMAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC4, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG, 93050 KUCHING SARAWAK",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
40 TAIYAKI ICE CREAM,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC40, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN) JALAN MATANG,",2024-08-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
41 GERAI MINUMAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC41, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2024-02-29,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
42 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC42, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2024-02-29,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
43 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2024-02-29,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
44 MAKANAN PANGGANG,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC44, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
